title,body_part,image_url,image_file
Cable Standing Fly,Chest,https://apilyfta.com/static/GymvisualPNG/02271101-Cable-Standing-Fly_Chest-FIX_small.png,images\Cable Standing Fly__Chest__18010194.png
Pull-up,Back,https://apilyfta.com/static/GymvisualPNG/06521101-Pull-up_Back_small.png,images\Pull-up__Back__84541507.png
Lever Seated Reverse Fly,Shoulders,https://apilyfta.com/static/GymvisualPNG/06021101-Lever-Seated-Reverse-Fly_Shoulders_small.png,images\Lever Seated Reverse Fly__Shoulders__12416922.png
Cable One Arm Lateral Raise,Shoulders,https://apilyfta.com/static/GymvisualPNG/01921101-Cable-One-Arm-Lateral-Raise_Shoulders_small.png,images\Cable One Arm Lateral Raise__Shoulders__4006536.png
Overhead Triceps Extension,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/01941101-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms_small.png,"images\Overhead Triceps Extension__Triceps, Upper Arms__30061699.png"
Alternate Biceps Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/02851101-Dumbbell-Alternate-Biceps-Curl_Upper-Arms-AFIX_small.png,"images\Alternate Biceps Curl__Biceps, Upper Arms__76240244.png"
Dumbbell Incline Curl,Biceps,https://apilyfta.com/static/GymvisualPNG/03171101-Dumbbell-Incline-Curl-II_Upper-Arms_small.png,images\Dumbbell Incline Curl__Biceps__42731937.png
Cable Wide-Grip Lat Pulldown,Back,https://apilyfta.com/static/GymvisualPNG/22911101-Cable-Wide-Grip-Lat-Pulldown-(female)_Back_small.png,images\Cable Wide-Grip Lat Pulldown__Back__51067148.png
Push-up,Chest,https://apilyfta.com/static/GymvisualPNG/06621101-Push-up-m_Chest-FIX_small.png,images\Push-up__Chest__64359291.png
Bent Over Row,Back,https://apilyfta.com/static/GymvisualPNG/00271101-Barbell-Bent-Over-Row_Back-FIX_small.png,images\Bent Over Row__Back__37173233.png
EZ Barbell Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/04471101-EZ-Barbell-Curl_Upper-Arms_small.png,"images\EZ Barbell Curl__Biceps, Upper Arms__13378162.png"
Lever Preacher Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/05921101-Lever-Preacher-Curl_Upper-Arms_small.png,"images\Lever Preacher Curl__Biceps, Upper Arms__74042414.png"
Barbell Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/00311101-Barbell-Curl_Upper-Arms-FIX_small.png,"images\Barbell Curl__Biceps, Upper Arms__87233206.png"
Smith Incline Bench Press,Chest,https://apilyfta.com/static/GymvisualPNG/07571101-Smith-Incline-Bench-Press_Chest-FIX_small.png,images\Smith Incline Bench Press__Chest__18748310.png
Incline Bench Press,Chest,https://apilyfta.com/static/GymvisualPNG/00471101-Barbell-Incline-Bench-Press_Chest_small.png,images\Incline Bench Press__Chest__4213563.png
Lever Chest Press,Chest,https://apilyfta.com/static/GymvisualPNG/05761101-Lever-Chest-Press-(plate-loaded)_Chest_small.png,images\Lever Chest Press__Chest__71044184.png
Cable Standing Lat Pushdown,Back,https://apilyfta.com/static/GymvisualPNG/12291101-Cable-Standing-Lat-Pushdown-(rope-equipment)_Back_small.png,images\Cable Standing Lat Pushdown__Back__65108810.png
Lever Chest Press,Chest,https://apilyfta.com/static/GymvisualPNG/05771101-Lever-Chest-Press_Chest_small.png,images\Lever Chest Press__Chest__72838111.png
Cable Lateral Pulldown with V-bar,Back,https://apilyfta.com/static/GymvisualPNG/26161101-Cable-Lateral-Pulldown-with-V-bar_Back_small.png,images\Cable Lateral Pulldown with V-bar__Back__91438172.png
Barbell Lying Triceps Extension Skull Crusher,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/00601101-Barbell-Lying-Triceps-Extension-Skull-Crusher_Triceps-SFIX_small.png,"images\Barbell Lying Triceps Extension Skull Crusher__Triceps, Upper Arms__60921557.png"
Lever Seated Row,Back,https://apilyfta.com/static/GymvisualPNG/13501101-Lever-Seated-Row_Back_small.png,images\Lever Seated Row__Back__5527905.png
Sled 45° Leg Wide Press,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/07401101-Sled-45-Leg-Wide-Press_Thighs_small.png,"images\Sled 45° Leg Wide Press__Quadriceps, Thighs__63569181.png"
Biceps Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/16071101-Cable-Biceps-Curl-(SZ-bar)_Upper-arms_small.png,"images\Biceps Curl__Biceps, Upper Arms__66764579.png"
Lever Standing Calf Raise,Calves,https://apilyfta.com/static/GymvisualPNG/06051101-Lever-Standing-Calf-Raise_Calf_small.png,images\Lever Standing Calf Raise__Calves__23908715.png
Lever Seated Calf Raise,Calves,https://apilyfta.com/static/GymvisualPNG/05941101-Lever-Seated-Calf-Raise-(plate-loaded)_Calf_small.png,images\Lever Seated Calf Raise__Calves__74966375.png
Preacher Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/00701101-Barbell-Preacher-Curl_Upper-Arms-AFIX_small.png,"images\Preacher Curl__Biceps, Upper Arms__79587440.png"
Shrug,Back,https://apilyfta.com/static/GymvisualPNG/04061101-Dumbbell-Shrug_Back-FIX_small.png,images\Shrug__Back__45905917.png
Biceps Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/02941101-Dumbbell-Biceps-Curl_Upper-Arms_small.png,"images\Biceps Curl__Biceps, Upper Arms__61281614.png"
Lever Lying T-bar Row,Back,https://apilyfta.com/static/GymvisualPNG/11941101-Lever-Lying-T-bar-Row_Back_small.png,images\Lever Lying T-bar Row__Back__41293883.png
One Arm Bent-over Row,Back,https://apilyfta.com/static/GymvisualPNG/02921101-Dumbbell-Bent-over-Row_back_Back-AFIX_small.png,images\One Arm Bent-over Row__Back__60668283.png
Cable One Arm Biceps Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/26561101-Cable-One-Arm-Biceps-Curl-(VERSION-2)_Upper-Arms_small.png,"images\Cable One Arm Biceps Curl__Biceps, Upper Arms__70542994.png"
Pulldown,Back,https://apilyfta.com/static/GymvisualPNG/01981101-Cable-Pulldown_Back_small.png,images\Pulldown__Back__23515818.png
Lever Pec Deck Fly,Chest,https://apilyfta.com/static/GymvisualPNG/10301101-Lever-Pec-Deck-Fly_Chest_small.png,images\Lever Pec Deck Fly__Chest__98535034.png
Pulldown,Back,https://apilyfta.com/static/GymvisualPNG/01971101-Cable-Pulldown-(pro-lat-bar)_Back_small.png,images\Pulldown__Back__60838551.png
Front Raise,Shoulders,https://apilyfta.com/static/GymvisualPNG/03101101-Dumbbell-Front-Raise_Shoulders_small.png,images\Front Raise__Shoulders__7395397.png
High Pulley Overhead Tricep Extension,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/17221101-Cable-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_small.png,"images\High Pulley Overhead Tricep Extension__Triceps, Upper Arms__60558703.png"
Lever Narrow Grip Seated Row,Back,https://apilyfta.com/static/GymvisualPNG/05881101-Lever-Narrow-Grip-Seated-Row-(plate-loaded)_Back_small.png,images\Lever Narrow Grip Seated Row__Back__93282408.png
Lever Seated Hip Abduction,Hips,https://apilyfta.com/static/GymvisualPNG/05971101-Lever-Seated-Hip-Abduction_Hips-FIX_small.png,images\Lever Seated Hip Abduction__Hips__40515050.png
Crunch Floor,Waist,https://apilyfta.com/static/GymvisualPNG/02741101-Crunch-Floor-m_waist_small.png,images\Crunch Floor__Waist__30230797.png
Triceps Pushdown,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/16051101-Cable-Triceps-Pushdown-(SZ-bar)_Upper-arms_small.png,"images\Triceps Pushdown__Triceps, Upper Arms__10574368.png"
Hammer Curl,Biceps,https://apilyfta.com/static/GymvisualPNG/03131101-Dumbbell-Hammer-Curl_Forearm_small.png,images\Hammer Curl__Biceps__32960171.png
Dumbbell Lateral Raise,Shoulders,https://apilyfta.com/static/GymvisualPNG/03341101-Dumbbell-Lateral-Raise_shoulder-AFIX_small.png,images\Dumbbell Lateral Raise__Shoulders__33124985.png
Chest Dip,Chest,https://apilyfta.com/static/GymvisualPNG/02511101-Chest-Dip_Chest_small.png,images\Chest Dip__Chest__60842715.png
Deadlift,Hips,https://apilyfta.com/static/GymvisualPNG/00321101-Barbell-Deadlift_Hips-FIX_small.png,images\Deadlift__Hips__33791304.png
Lever Total Abdominal Crunch,Waist,https://apilyfta.com/static/GymvisualPNG/18571101-Lever-Total-Abdominal-Crunch_Waist_small.png,images\Lever Total Abdominal Crunch__Waist__36124970.png
Captains Chair Straight Leg Raise,Waist,https://apilyfta.com/static/GymvisualPNG/29631101-Captains-Chair-Straight-Leg-Raise_Waist_small.png,images\Captains Chair Straight Leg Raise__Waist__40977229.png
Lever Incline Chest Press,Chest,https://apilyfta.com/static/GymvisualPNG/12991101-Leverage-Incline-Chest-Press_Chest_small.png,images\Lever Incline Chest Press__Chest__21312961.png
Cable Kneeling Crunch,Waist,https://apilyfta.com/static/GymvisualPNG/01751101-Cable-Kneeling-Crunch_Waist-FIX_small.png,images\Cable Kneeling Crunch__Waist__33472479.png
Dumbbell Seated Shoulder Press,Shoulders,https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders_small.png,images\Dumbbell Seated Shoulder Press__Shoulders__8478302.png
Barbell Standing Military Press,Shoulders,https://apilyfta.com/static/GymvisualPNG/11651101-Barbell-Standing-Military-Press-(without-rack)_Shoulders-FIX_small.png,images\Barbell Standing Military Press__Shoulders__43653537.png
Cable Low Fly,Chest,https://apilyfta.com/static/GymvisualPNG/01791101-Cable-Low-Fly_Chest-FIX_small.png,images\Cable Low Fly__Chest__23228449.png
Front Plank,Waist,https://apilyfta.com/static/GymvisualPNG/04631101-Front-Plank_waist-FIX_small.png,images\Front Plank__Waist__58853279.png
Lever Lateral Raise,Shoulders,https://apilyfta.com/static/GymvisualPNG/05841101-Lever-Lateral-Raise_shoulder_small.png,images\Lever Lateral Raise__Shoulders__29908418.png
Lever Seated Hip Adduction,Hips,https://apilyfta.com/static/GymvisualPNG/36121101-Lever-Seated-Hip-Adduction-(female)_Thighs_small.png,images\Lever Seated Hip Adduction__Hips__50092431.png
Cable Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/08681101-Cable-Curl-(male)_Upper-Arms-FIX_small.png,"images\Cable Curl__Biceps, Upper Arms__81667080.png"
Sled 45° Leg Press,Hips,https://apilyfta.com/static/GymvisualPNG/07391101-Sled-45-Leg-Press_Hips_small.png,images\Sled 45° Leg Press__Hips__18013725.png
Sled Hack Squat,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/23841101-Sled-Hack-Squat-(female)_Thighs_small.png,"images\Sled Hack Squat__Quadriceps, Thighs__40797229.png"
Dumbbell Incline Biceps Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/03151101-Dumbbell-Incline-Biceps-Curl_Upper-Arms_small.png,"images\Dumbbell Incline Biceps Curl__Biceps, Upper Arms__57114241.png"
Romanian Deadlift,Hips,https://apilyfta.com/static/GymvisualPNG/00851101-Barbell-Romanian-Deadlift_Hips_small.png,images\Romanian Deadlift__Hips__5702802.png
Walking on Treadmill,Cardio,https://apilyfta.com/static/GymvisualPNG/22591101-Walking-on-Treadmill_Cardio_small.png,images\Walking on Treadmill__Cardio__30764165.png
Lever Seated Dip,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/14511101-Lever-Seated-Dip_Upper-Arms_small.png,"images\Lever Seated Dip__Triceps, Upper Arms__10151060.png"
Cross Body Hammer Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/16571101-Dumbbell-Cross-Body-Hammer-Curl-(Version-2)_Upper-Arms_small.png,"images\Cross Body Hammer Curl__Biceps, Upper Arms__60484901.png"
Dumbbell Shrug,Back,https://apilyfta.com/static/GymvisualPNG/04061101-Dumbbell-Shrug_Back-FIX_small.png,images\Dumbbell Shrug__Back__4624877.png
Fly,Chest,https://apilyfta.com/static/GymvisualPNG/03081101-Dumbbell-Fly_Chest-FIX_small.png,images\Fly__Chest__43052630.png
Assisted Pull-up,Back,https://apilyfta.com/static/GymvisualPNG/00171101-Assisted-Pull-up_Back_small.png,images\Assisted Pull-up__Back__63082759.png
Dumbbell Preacher Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/03721101-Dumbbell-Preacher-Curl_Upper-Arms_small.png,"images\Dumbbell Preacher Curl__Biceps, Upper Arms__11981320.png"
Cable Standing One Arm Tricep Pushdown,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/12271101-Cable-Standing-One-Arm-Tricep-Pushdown-(Overhand-Grip)_Upper-Arms_small.png,"images\Cable Standing One Arm Tricep Pushdown__Triceps, Upper Arms__62557104.png"
Cable Standing Rear Delt Row,Shoulders,https://apilyfta.com/static/GymvisualPNG/02331101-Cable-Standing-Rear-Delt-Row-(with-rope)_shoulder_small.png,images\Cable Standing Rear Delt Row__Shoulders__853935.png
Walking on Incline Treadmill,Cardio,https://apilyfta.com/static/GymvisualPNG/36661101-Walking-on-Incline-Treadmill_Cardio_small.png,images\Walking on Incline Treadmill__Cardio__68479563.png
Barbell Bent Over Row,Back,https://apilyfta.com/static/GymvisualPNG/00271101-Barbell-Bent-Over-Row_Back-FIX_small.png,images\Barbell Bent Over Row__Back__53019665.png
Standing Triceps Extension,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/04301101-Dumbbell-Standing-Triceps-Extension_Upper-Arms_small.png,"images\Standing Triceps Extension__Triceps, Upper Arms__64194300.png"
Lever Preacher Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/05921101-Lever-Preacher-Curl_Upper-Arms-FIX_small.png,"images\Lever Preacher Curl__Biceps, Upper Arms__24757295.png"
Cable Standing Face Pull (with rope),Shoulders,https://apilyfta.com/static/GymvisualPNG/56561101-Cable-Standing-Face-Pull-(with-rope)_Shoulders_small.png,images\Cable Standing Face Pull (with rope)__Shoulders__57929013.png
Seated Bench Extension,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/03891101-Dumbbell-Seated-Bench-Extension_Upper-Arms-FIX_small.png,"images\Seated Bench Extension__Triceps, Upper Arms__99424840.png"
Cable Straight Back Seated Row,Back,https://apilyfta.com/static/GymvisualPNG/02391101-Cable-Straight-Back-Seated-Row_Back_small.png,images\Cable Straight Back Seated Row__Back__34017515.png
Lever Seated Leg Press,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/22671101-Lever-Seated-Leg-Press_Thighs_small.png,"images\Lever Seated Leg Press__Quadriceps, Thighs__97203522.png"
Concentration Curl,"Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/02971101-Dumbbell-Concentration-Curl_Upper-Arms_small.png,"images\Concentration Curl__Biceps, Upper Arms__43602936.png"
45 degree hyperextension,Back,https://apilyfta.com/static/GymvisualPNG/08771101-45-degree-hyperextension-(arms-in-front-of-chest)_Back_small.png,images\45 degree hyperextension__Back__85978185.png
Standing Calf Raise,Calves,https://apilyfta.com/static/GymvisualPNG/04171101-Dumbbell-Standing-Calf-Raise_Calf_small.png,images\Standing Calf Raise__Calves__42852376.png
One arm Wrist Curl,Forearms,https://apilyfta.com/static/GymvisualPNG/03641101-Dumbbell-One-arm-Wrist-Curl_Forearm-SFIX_small.png,images\One arm Wrist Curl__Forearms__3489978.png
Triceps Dip,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/08141101-Triceps-Dip_Upper-Arms_small.png,"images\Triceps Dip__Triceps, Upper Arms__80937013.png"
Lever Seated Hip Adduction,Thighs,https://apilyfta.com/static/GymvisualPNG/05981101-Lever-Seated-Hip-Adduction_Thighs_small.png,images\Lever Seated Hip Adduction__Thighs__75127283.png
Low Seated Row,Back,https://apilyfta.com/static/GymvisualPNG/01801101-Cable-Low-Seated-Row_Back_small.png,images\Low Seated Row__Back__82282721.png
Smith Calf Raise,Calves,https://apilyfta.com/static/GymvisualPNG/11641101-Smith-Calf-Raise-(version-2)_Calves_small.png,images\Smith Calf Raise__Calves__64763882.png
Wrist Curl,Forearms,https://apilyfta.com/static/GymvisualPNG/01251101-Barbell-Wrist-Curl-II_Forearms_small.png,images\Wrist Curl__Forearms__15650700.png
Smith Full Squat,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/32811101-Smith-Full-Squat_Thighs_small.png,"images\Smith Full Squat__Quadriceps, Thighs__10225921.png"
Straight Leg Deadlift,"Hamstrings, Thighs",https://apilyfta.com/static/GymvisualPNG/01161101-Barbell-Straight-Leg-Deadlift_Thighs-AFIX_small.png,"images\Straight Leg Deadlift__Hamstrings, Thighs__12611910.png"
Lever Seated Leg Press,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/33851101-Lever-Seated-Leg-Press-(VERSION-2)_Thighs_small.png,"images\Lever Seated Leg Press__Quadriceps, Thighs__14517581.png"
Decline Crunch,Waist,https://apilyfta.com/static/GymvisualPNG/02771101-Decline-Crunch_waist_small.png,images\Decline Crunch__Waist__66194808.png
Seated Wide-grip Row,Back,https://apilyfta.com/static/GymvisualPNG/02181101-Cable-Seated-Wide-grip-Row_Back_small.png,images\Seated Wide-grip Row__Back__66884408.png
Incline Fly,Chest,https://apilyfta.com/static/GymvisualPNG/03191101-Dumbbell-Incline-Fly_Chest-FIX_small.png,images\Incline Fly__Chest__93707330.png
Russian Twist,Waist,https://apilyfta.com/static/GymvisualPNG/06871101-Russian-Twist_waist_small.png,images\Russian Twist__Waist__87610070.png
Lever Chest Press,Chest,https://apilyfta.com/static/GymvisualPNG/14551101-Lever-Chest-Press-(VERSION-2)_Chest_small.png,images\Lever Chest Press__Chest__49692011.png
Dumbbell One Arm Bent-over Row,Back,https://apilyfta.com/static/GymvisualPNG/02921101-Dumbbell-Bent-over-Row_back_Back-AFIX_small.png,images\Dumbbell One Arm Bent-over Row__Back__78177827.png
Sled 45 degrees Leg Press,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/22241101-Sled-45-degrees-Leg-Press-(female)_Thighs_small.png,"images\Sled 45 degrees Leg Press__Quadriceps, Thighs__64244522.png"
Dumbbell Bulgarian Split Squat,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/22901101-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs_small.png,"images\Dumbbell Bulgarian Split Squat__Quadriceps, Thighs__23008371.png"
Cable Standing Reverse Grip Curl,Forearms,https://apilyfta.com/static/GymvisualPNG/29541101-Cable-Standing-Reverse-Grip-Curl-(Straight-bar)_Forearms_small.png,images\Cable Standing Reverse Grip Curl__Forearms__54394514.png
Front Plank,Waist,https://apilyfta.com/static/GymvisualPNG/04651101-Front-Plank_Waist_small.png,images\Front Plank__Waist__51944574.png
Lever Seated Reverse Fly,Shoulders,https://apilyfta.com/static/GymvisualPNG/06011101-Lever-Seated-Reverse-Fly-(parallel-grip)_shoulder_small.png,images\Lever Seated Reverse Fly__Shoulders__61815460.png
Smith Seated Shoulder Press,Shoulders,https://apilyfta.com/static/GymvisualPNG/07651101-Smith-Seated-Shoulder-Press_Shoulders_small.png,images\Smith Seated Shoulder Press__Shoulders__17677162.png
Lever Low Row,Back,https://apilyfta.com/static/GymvisualPNG/42141101-Lever-Low-Row-(plate-loaded)_Back_small.png,images\Lever Low Row__Back__15970960.png
Run on Treadmill,Cardio,https://apilyfta.com/static/GymvisualPNG/21971101-Run-on-Treadmill-(female)_Cardio_small.png,images\Run on Treadmill__Cardio__76115017.png
Cable Triceps Pushdown,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/02411101-Cable-Triceps-Pushdown-(V-bar-attachment)_Upper-Arms_small.png,"images\Cable Triceps Pushdown__Triceps, Upper Arms__19407333.png"
Cable Overhead Tricep Extension StraighT-bar,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/41151101-Cable-Overhead-Tricep-Extension-Straight-Bar-(male)_Upper-Arms_small.png,"images\Cable Overhead Tricep Extension StraighT-bar__Triceps, Upper Arms__76189915.png"
Cable Hammer Curl,Forearms,https://apilyfta.com/static/GymvisualPNG/01651101-Cable-Hammer-Curl-(with-rope)-m_Forearms_small.png,images\Cable Hammer Curl__Forearms__19711866.png
Hanging Leg Hip Raise,Waist,https://apilyfta.com/static/GymvisualPNG/17641101-Hanging-Leg-Hip-Raise_Waist_small.png,images\Hanging Leg Hip Raise__Waist__95721390.png
Lever Front Pulldown,Back,https://apilyfta.com/static/GymvisualPNG/05791101-Lever-Front-Pulldown_Back_small.png,images\Lever Front Pulldown__Back__95856503.png
Lever Lying Chest Press,Chest,https://apilyfta.com/static/GymvisualPNG/10411101-Lever-Lying-Chest-Press-(plate-loaded)_Chest_small.png,images\Lever Lying Chest Press__Chest__17967656.png
Cable Single Arm Triceps Pushdown (Rope Attachment),"Triceps, Biceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/50331101-Cable-Single-Arm-Triceps-Pushdown-(Rope-Attachment)_Upper-Arms_small.png,"images\Cable Single Arm Triceps Pushdown (Rope Attachment)__Triceps, Biceps, Upper Arms__96135001.png"
Cable one arm lat pulldown,Back,https://apilyfta.com/static/GymvisualPNG/12041101-Cable-one-arm-lat-pulldown_back_small.png,images\Cable one arm lat pulldown__Back__98232023.png
Seated Lateral Raise,Shoulders,https://apilyfta.com/static/GymvisualPNG/03951101-Dumbbell-Seated-Lateral-Raise-II_shoulder_small.png,images\Seated Lateral Raise__Shoulders__61048530.png
Cable Wide Neutral Grip PullDown,Back,https://apilyfta.com/static/GymvisualPNG/42171101-Cable-Wide-Neutral-Grip-PullDown_Back_small.png,images\Cable Wide Neutral Grip PullDown__Back__71217244.png
Lever Seated Squat Calf Raise on Leg Press Machine,Calves,https://apilyfta.com/static/GymvisualPNG/13851101-Lever-Seated-Squat-Calf-Raise-on-Leg-Press-Machine_Calves_small.png,images\Lever Seated Squat Calf Raise on Leg Press Machine__Calves__65547691.png
Hip Thrust,Hips,https://apilyfta.com/static/GymvisualPNG/10601101-Barbell-Hip-Thrust_Hips_small.png,images\Hip Thrust__Hips__24496333.png
Cable Overhead Triceps Extension,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/01941101-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms_small.png,"images\Cable Overhead Triceps Extension__Triceps, Upper Arms__30931846.png"
Cable One Arm Lateral Raise,Shoulders,https://apilyfta.com/static/GymvisualPNG/22311101-Cable-One-Arm-Lateral-Raise-(female)_Shoulders_small.png,images\Cable One Arm Lateral Raise__Shoulders__96120614.png
Cable Seated One Arm Alternate Row,Back,https://apilyfta.com/static/GymvisualPNG/02141101-Cable-Seated-One-Arm-Alternate-Row_Back_small.png,images\Cable Seated One Arm Alternate Row__Back__50261655.png
Romanian Deadlift,Hips,https://apilyfta.com/static/GymvisualPNG/14591101-Dumbbell-Romanian-Deadlift_Hips_small.png,images\Romanian Deadlift__Hips__3460338.png
Smith Bench Press,Chest,https://apilyfta.com/static/GymvisualPNG/07481101-Smith-Bench-Press_Chest-FIX_small.png,images\Smith Bench Press__Chest__39727183.png
Squat,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/11971101-Squat-m_Thighs_small.png,"images\Squat__Quadriceps, Thighs__47113931.png"
Chin-Up,Back,https://apilyfta.com/static/GymvisualPNG/13261101-Chin-Up_Back_small.png,images\Chin-Up__Back__35801295.png
Stationary Bike Run,Cardio,https://apilyfta.com/static/GymvisualPNG/22791101-Stationary-Bike-Run-(version-4)_Cardio_small.png,images\Stationary Bike Run__Cardio__92759800.png
Lever Seated Crunch,Waist,https://apilyfta.com/static/GymvisualPNG/14521101-Lever-Seated-Crunch_Waist_small.png,images\Lever Seated Crunch__Waist__3347289.png
One Arm Side Triceps Pushdown,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/16091101-Cable-One-Arm-Side-Triceps-Pushdown_Upper-arms_small.png,"images\One Arm Side Triceps Pushdown__Triceps, Upper Arms__7192616.png"
Alternate Heel Touchers,Waist,https://apilyfta.com/static/GymvisualPNG/00061101-Alternate-Heel-Touchers_waist-FIX_small.png,images\Alternate Heel Touchers__Waist__55270449.png
Reverse Curl,Forearms,https://apilyfta.com/static/GymvisualPNG/00801101-Barbell-Reverse-Curl_Forearm_small.png,images\Reverse Curl__Forearms__77573228.png
