canonical_name,display_name_vi,category,food_role,edible_form,kcal_per_100g,protein_g_per_100g,carb_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,default_serving_g,aliases,source,is_active
carrot,Cà rốt,vegetable,vegetable,raw,41,0.9,9.6,0.2,2.8,69,100,ca rot|cà rốt|carrot,manual_seed,1
tomato,Cà chua,vegetable,vegetable,raw,18,0.9,3.9,0.2,1.2,5,100,ca chua|cà chua|tomato,manual_seed,1
cabbage,Bắp cải,vegetable,vegetable,raw,25,1.3,5.8,0.1,2.5,18,100,bap cai|bắp cải|cabbage,manual_seed,1
lettuce,Xà lách,vegetable,vegetable,raw,15,1.4,2.9,0.2,1.3,28,100,xa lach|xà lách|lettuce,manual_seed,1
bell_pepper,Ớt chuông,vegetable,vegetable,raw,31,1,6,0.3,2.1,4,100,ot chuong|ớt chuông|bell pepper,manual_seed,1
mushroom,Nấm,vegetable,vegetable,cooked,22,3.1,3.3,0.3,1,5,100,nam|nấm|mushroom,manual_seed,1
banana,Chuối,fruit,fruit,raw,89,1.1,22.8,0.3,2.6,1,100,chuoi|chuối|banana,manual_seed,1
apple,Táo,fruit,fruit,raw,52,0.3,13.8,0.2,2.4,1,150,tao|táo|apple,manual_seed,1
orange,Cam,fruit,fruit,raw,47,0.9,11.8,0.1,2.4,0,150,cam|orange,manual_seed,1
avocado,Bơ,fruit,fat_source,raw,160,2,8.5,14.7,6.7,7,100,bo|bơ|avocado,manual_seed,1
strawberry,Dâu tây,fruit,fruit,raw,32,0.7,7.7,0.3,2,1,100,dau tay|dâu tây|strawberry,manual_seed,1
low_fat_milk,Sữa ít béo,dairy,dairy,liquid,42,3.4,5,1,0,44,250,sua it beo|sữa ít béo|low fat milk,manual_seed,1
greek_yogurt,Sữa chua Hy Lạp,dairy,dairy,cooked,59,10,3.6,0.4,0,36,170,sua chua hy lap|sữa chua hy lạp|greek yogurt,manual_seed,1
cottage_cheese,Phô mai tươi,dairy,dairy,cooked,98,11,3.4,4.3,0,364,100,pho mai tuoi|phô mai tươi|cottage cheese,manual_seed,1
soy_milk,Sữa đậu nành,dairy,dairy,liquid,33,2.9,1.7,1.6,0.6,51,250,sua dau nanh|sữa đậu nành|soy milk,manual_seed,1
olive_oil,Dầu ô liu,fat_oil,fat_source,liquid,884,0,0,100,0,2,10,dau oliu|dầu ô liu|olive oil,manual_seed,1
peanut_butter,Bơ đậu phộng,fat_oil,fat_source,cooked,588,25,20,50,6,459,20,bo dau phong|bơ đậu phộng|peanut butter,manual_seed,1
almond,Hạnh nhân,fat_oil,fat_source,raw,579,21,22,50,12.5,1,20,hanh nhan|hạnh nhân|almond,manual_seed,1
cashew,Hạt điều,fat_oil,fat_source,raw,553,18,30,44,3.3,12,20,hat dieu|hạt điều|cashew,manual_seed,1
chia_seed,Hạt chia,fat_oil,fat_source,raw,486,16.5,42.1,30.7,34.4,16,15,hat chia|hạt chia|chia seed,manual_seed,1
fish_sauce,Nước mắm,condiment,condiment,liquid,35,5,3,0,0,7700,10,nuoc mam|nước mắm|fish sauce,manual_seed,1
soy_sauce,Nước tương,condiment,condiment,liquid,53,8,4.9,0.6,0.8,5493,10,nuoc tuong|nước tương|soy sauce,manual_seed,1
salt,Muối,condiment,condiment,powder,0,0,0,0,0,38758,2,muoi|muối|salt,manual_seed,1
honey,Mật ong,condiment,carb_source,liquid,304,0.3,82.4,0,0.2,4,10,mat ong|mật ong|honey,manual_seed,1
whey_protein,Whey protein,supplement,supplement,powder,400,80,8,6,0,200,30,whey|protein powder|whey protein,manual_seed,1
water,Nước lọc,beverage,beverage,liquid,0,0,0,0,0,0,250,nuoc loc|nước lọc|water,manual_seed,1
